Company Name,State,Job url,Company page url,Job Title,Job t,Desc
A&T peregrine transportation llc,"North Dakota,
					Nebraska,
					Oklahoma,
					Texas,
					Utah,
				
					+4 more",https://www.thetruckersreport.com/jobs/profile/at-peregrine-transportation-llc.4169,,`,- Specialized,Heavy Haul OTR Driver for 10-11 axle setup
A&V Cargo Inc,"Texas,
					Alabama,
					Missouri,
					Virginia,
					Arkansas,
				
					+20 more",https://www.thetruckersreport.com/jobs/profile/av-cargo-inc.4308,,OTR/Regional Truck Driver,- Flatbed,Hiring CDL Class A OTR drivers - 60cpm or up to 30% (copy)
Airgas Inc,California,https://www.thetruckersreport.com/co/airgas-inc.1425/jobs,,Local Truck Driver,- Specialized,Local CDL A Driver
AIV LLC,"Indiana,
					Washington,
					Montana,
					Oregon,
					California,
				
					+44 more",https://www.thetruckersreport.com/jobs/profile/aiv-llc.4184,,OTR Truck Driver,- Refrigerated - HazMat,"Hiring CDL-A OTR Drivers, Average $90K/year! Flexible Home Time"
ASAP Trans Corp,"South Dakota,
					Delaware,
					Maryland,
					New Jersey,
					Tennessee,
				
					+44 more",https://www.thetruckersreport.com/jobs/job/hiring-cdl-a-otr-drivers-2500.526565/apply,https://www.thetruckersreport.com/co/asap-trans-corp.4403/jobs,OTR Truck Driver,- Dry Van,Hiring CDL-A OTR Drivers -  $2500+ a Week take home!
B.A.H. Express,"Georgia,
					North Carolina,
					Tennessee,
					Ohio,
					South Carolina,
				
					+1 more",https://www.thetruckersreport.com/jobs/job/cdl-a-regional-drivers-earn-up.157125/apply,https://www.thetruckersreport.com/co/bah-express.889/jobs,Regional Truck Driver,- Dry Van,CDL A Regional Drivers - Earn Up To .65cpm – No Touch Freight – Home Weekly!
Baggett Transportation Company,"Georgia,
					Texas,
					Alabama,
					South Carolina,
					Pennsylvania,
				
					+9 more",https://www.thetruckersreport.com/co/baggett-transportation-company.4149/jobs,https://www.thetruckersreport.com/co/baggett-transportation-company.4149/jobs,OTR Truck Driver,- Flatbed,CDL A Flatbed Company Drivers - Average $0.62CPM
Balkan Enterprise LLC,,https://www.thetruckersreport.com/jobs/profile/balkan-enterprise-llc.4319,,OTR/Dedicated/Regional/Local Truck Driver,- Owner Operator - LTL,Owner-Operator Truck Drivers needed! Unlimited potential!
Barrett Trucking LLC,"California,
					Texas",https://www.thetruckersreport.com/jobs/profile/barrett-trucking-llc.4164,,OTR Truck Driver,- Auto Hauler,Part Time Tractor Trailer Drivers wanted! No-touch Car Hauling
Bay & Bay Transportation,"Iowa,
					Indiana,
					Ohio,
					Pennsylvania,
					Rhode Island,
				
					+21 more",https://www.thetruckersreport.com/jobs/job/lease-purchase-earn-140-200-cpm-plus.505392/apply,https://www.thetruckersreport.com/co/bay-bay-transportation.712/jobs,OTR Truck Driver,- Owner Operator - Dry Van,Lease Purchase - Earn $1.40-$2.00 CPM plus FSC!
"Birchwood Transport, Inc",Ohio,https://www.thetruckersreport.com/jobs/job/cdl-a-reefer-driver-earn-0675.518133/apply,https://www.thetruckersreport.com/co/birchwood-transport-inc.3463/jobs,OTR/Regional Truck Driver,- Refrigerated,CDL A Reefer Driver - Earn $0.675 cpm - Weekly Hometime - No Touch Freight!
BMT,"Michigan,
					Oklahoma,
					District of Columbia,
					Wyoming,
					Minnesota,
				
					+33 more",https://www.thetruckersreport.com/co/bmt.3215/jobs,https://www.thetruckersreport.com/co/bmt.3215/jobs,OTR Truck Driver,- Dry Van,CDL-A OTR - Second Chances Are Earned. Ready to Get Back on the Road?
"BOURNE TRANSPORT, LLC",z,https://www.thetruckersreport.com/jobs/profile/bourne-transport-llc.4145,,OTR Truck Driver,- Flatbed,CDL A OTR Drivers Wanted! New Peterbilt 389 Tractors Arriving!
